air humidity (%);temperature level (F);pH
51,8;70,0;7,4
12,5;55,0;8,2
87,9;69,0;6,2
32,3;77,0;6,2
3,6;53,0;8,6
2,8;43,0;7,1
55,5;66,0;7,2
44,8;56,0;8,8
72,4;59,0;7,3
44,4;63,0;7,6
12,5;35,0;7,7
46,5;33,0;7,4
23,7;47,0;7,2
15,6;37,0;7,2
27,0;82,0;7,8
9,0;41,0;7,0
28,7;42,0;7,6
8,3;49,0;7,8
25,4;36,0;8,0
29,0;55,0;8,1
84,6;68,0;6,4
39,0;83,0;8,5
40,9;57,0;6,0
17,3;34,0;7,7
44,6;79,0;6,2
84,3;71,0;7,8
49,6;77,0;7,6
75,2;77,0;8,7
47,0;48,0;8,5
83,8;62,0;6,8
70,0;72,0;7,7
44,8;52,0;7,8
53,6;61,0;7,2
78,7;84,0;8,0
35,8;49,0;8,8
65,9;52,0;6,9
36,8;57,0;8,3
89,7;52,0;7,2
31,0;34,0;8,0
48,7;62,0;6,4
82,8;82,0;6,5
3,1;35,0;7,2
74,2;55,0;6,4
25,9;50,0;8,0
86,5;83,0;7,6
88,9;69,0;7,1
54,4;53,0;7,3
50,1;35,0;6,8
68,0;54,0;7,3
5,2;49,0;7,4
56,5;72,0;7,6
6,0;36,0;7,6
27,7;33,0;7,1
59,8;69,0;6,6
29,4;52,0;7,2
63,0;77,0;7,3
30,5;71,0;6,5
52,8;81,0;7,9
42,5;34,0;8,2
75,8;59,0;6,2
34,4;36,0;7,7
54,5;42,0;6,2
34,8;76,0;7,3
85,3;59,0;6,2
6,1;58,0;8,8
44,5;78,0;7,7
68,5;59,0;7,7
54,4;57,0;7,4
42,5;43,0;7,4
83,4;38,0;7,1
41,1;46,0;8,8
72,3;70,0;6,6
14,8;48,0;8,0
37,2;74,0;7,9
73,5;61,0;6,8
52,8;63,0;6,1
25,3;54,0;8,1
80,7;75,0;7,8
31,3;62,0;7,6
34,0;52,0;8,7
33,7;79,0;7,9
71,9;80,0;6,2
38,3;59,0;7,6
23,8;82,0;8,8
87,9;66,0;7,0
43,1;34,0;7,3
61,6;46,0;7,9
43,4;80,0;7,7
65,6;64,0;7,2
13,7;43,0;6,9
63,1;81,0;8,3
35,4;49,0;7,4
32,3;37,0;7,3
10,1;44,0;8,7
43,7;52,0;7,1
13,4;50,0;7,9
89,6;82,0;8,0
89,6;65,0;7,2
47,9;53,0;8,2
35,6;52,0;8,2
13,5;45,0;7,9
46,2;52,0;8,8
41,0;58,0;8,8
61,1;73,0;7,8
41,2;41,0;8,2
48,7;65,0;7,4
38,3;33,0;7,2
88,5;66,0;6,2
51,1;78,0;6,5
74,0;64,0;7,5
54,8;78,0;6,4
72,3;72,0;7,2
84,8;71,0;7,3
25,3;56,0;7,5
17,7;74,0;6,5
44,8;57,0;8,5
8,0;44,0;7,3
65,3;40,0;7,9
30,9;50,0;8,0
77,0;57,0;7,7
38,2;56,0;7,7
84,0;73,0;6,1
47,4;63,0;6,4
31,9;54,0;8,7
89,8;62,0;6,5
41,9;45,0;7,6
14,3;55,0;8,3
38,8;70,0;7,3
34,2;53,0;7,3
57,8;73,0;7,1
11,9;37,0;8,3
38,5;62,0;7,7
49,5;40,0;7,1
38,2;35,0;7,7
50,2;59,0;6,5
45,0;57,0;8,8
26,5;59,0;8,5
81,8;52,0;7,5
62,9;62,0;6,0
53,2;55,0;7,1
62,1;76,0;6,0
53,6;56,0;7,4
49,2;79,0;7,4
30,1;37,0;7,7
39,2;39,0;7,2
46,7;61,0;7,3
70,5;55,0;6,2
,7;53,0;7,5
39,7;50,0;7,9
62,6;70,0;7,5
46,5;40,0;8,4
16,8;32,0;7,6
39,2;47,0;7,9
41,1;40,0;7,9
5,4;58,0;8,8
38,7;70,0;7,2
39,5;69,0;7,5
16,5;52,0;8,3
15,9;50,0;7,9
24,9;40,0;8,0
33,5;60,0;6,1
38,5;39,0;8,5
25,5;45,0;8,1
50,5;75,0;6,3
2,5;48,0;7,4
21,7;56,0;8,6
14,5;53,0;8,7
41,6;65,0;7,7
64,6;55,0;7,9
18,2;40,0;8,8
21,9;50,0;8,7
11,9;54,0;8,3
57,5;66,0;7,5
34,7;84,0;6,9
56,2;80,0;6,3
89,9;59,0;7,7
48,5;46,0;8,0
35,8;79,0;6,6
28,1;42,0;7,6
63,1;80,0;7,6
10,8;52,0;8,0
2,0;54,0;8,2
53,6;80,0;6,3
69,4;55,0;7,2
23,9;56,0;8,3
4,3;39,0;8,1
19,4;47,0;7,5
20,8;44,0;7,5
49,9;55,0;7,6
72,7;77,0;7,7
87,8;58,0;6,2
28,8;36,0;8,4
42,1;50,0;8,8
31,2;42,0;8,9
16,8;32,0;8,1
30,3;55,0;7,5
46,6;63,0;6,4
85,8;79,0;7,1
71,3;60,0;7,0
59,8;82,0;7,6
12,7;57,0;8,6
85,9;77,0;6,8
24,2;77,0;7,2
63,2;77,0;6,5
85,4;57,0;6,3
33,9;80,0;6,6
80,1;83,0;6,4
58,0;77,0;7,6
56,1;58,0;6,2
38,0;43,0;7,7
30,8;52,0;7,7
37,3;67,0;6,4
11,0;55,0;7,1
82,2;74,0;6,6
5,5;32,0;7,2
41,6;56,0;8,9
24,0;54,0;7,8
28,4;58,0;7,2
14,5;59,0;7,0
49,4;84,0;8,8
19,3;48,0;7,0
86,4;64,0;6,1
2,4;43,0;8,5
29,1;54,0;7,7
31,2;59,0;8,3
6,5;33,0;8,9
38,7;40,0;7,1
11,0;36,0;8,2
29,7;57,0;6,9
37,0;79,0;6,4
72,8;73,0;6,9
2,7;57,0;7,3
16,5;45,0;8,0
70,1;38,0;8,6
41,0;66,0;6,9
6,7;73,0;8,6
41,9;56,0;7,5
46,3;54,0;8,0
84,2;63,0;6,7
15,4;35,0;8,9
18,3;49,0;8,4
35,9;55,0;6,6
74,3;58,0;7,6
89,0;65,0;7,6
52,4;35,0;7,7
19,7;44,0;7,1
79,3;41,0;6,7
21,9;33,0;8,5
5,9;33,0;8,9
30,3;38,0;8,5
47,9;82,0;6,3
48,8;36,0;8,5
48,8;51,0;7,9
31,8;43,0;8,5
31,1;46,0;8,9
30,6;49,0;8,4
85,4;57,0;6,6
62,8;55,0;7,6
12,0;54,0;7,5
26,2;42,0;7,4
67,0;71,0;6,3
1,7;38,0;7,0
22,2;58,0;7,3
85,7;63,0;7,3
2,9;57,0;7,6
64,7;66,0;6,4
26,5;46,0;8,2
43,0;42,0;7,2
13,9;33,0;8,9
62,8;66,0;6,1
41,2;48,0;8,6
36,5;41,0;7,1
10,0;38,0;8,6
8,9;32,0;7,8
43,9;41,0;7,8
72,3;71,0;7,3
80,3;81,0;7,3
23,8;34,0;8,7
31,2;78,0;6,7
12,7;37,0;7,3
20,3;40,0;7,6
70,0;64,0;6,2
45,6;63,0;7,9
60,1;68,0;6,6
36,5;37,0;6,6
46,5;55,0;7,7
3,9;42,0;7,6
16,6;65,0;7,9
32,2;38,0;8,1
25,0;59,0;8,2
74,0;62,0;6,3
54,1;63,0;6,8
21,7;58,0;8,8
50,7;65,0;7,7
7,8;45,0;8,5
23,6;36,0;8,2
44,4;58,0;7,1
45,5;55,0;7,5
9,7;44,0;8,3
1,6;55,0;8,8
42,8;61,0;6,5
8,7;39,0;7,3
3,8;51,0;7,4
61,8;83,0;7,1
35,5;63,0;7,7
73,9;82,0;7,8
,4;51,0;7,7
42,8;75,0;6,9
26,3;35,0;8,0
44,2;35,0;6,7
34,8;54,0;8,8
27,2;51,0;7,6
47,2;53,0;8,1
42,6;36,0;8,5
44,8;59,0;7,9
49,4;40,0;8,4
47,6;55,0;6,2
36,8;43,0;8,0
72,6;81,0;6,6
40,6;72,0;6,5
69,6;53,0;6,4
13,6;44,0;7,6
3,3;54,0;8,7
44,0;35,0;7,2
31,2;43,0;7,6
50,2;81,0;7,8
14,4;42,0;7,1
66,0;50,0;8,0
60,1;54,0;7,4
49,6;46,0;7,2
36,2;49,0;7,9
23,2;42,0;7,9
47,4;58,0;7,5
56,9;74,0;7,5
43,2;56,0;7,1
24,4;57,0;8,1
49,9;35,0;7,6
51,3;36,0;7,0
25,2;59,0;7,7
63,4;81,0;7,4
7,7;53,0;7,7
48,8;66,0;7,6
9,6;56,0;7,6
84,5;54,0;7,5
15,3;54,0;6,2
67,4;53,0;8,0
38,1;59,0;7,8
59,5;55,0;6,1
50,3;51,0;8,8
27,6;40,0;8,0
34,2;34,0;8,9
22,1;52,0;7,1
43,7;38,0;8,2
47,7;58,0;6,3
30,1;47,0;7,6
78,7;54,0;7,3
57,2;71,0;7,8
60,6;56,0;6,1
27,9;50,0;7,6
58,2;51,0;7,0
13,5;42,0;6,4
41,7;39,0;8,0
68,5;65,0;7,2
20,2;50,0;9,0
31,6;37,0;7,6
64,9;53,0;7,4
74,3;81,0;6,6
7,6;53,0;7,0
88,3;58,0;6,5
32,9;46,0;7,4
87,8;77,0;6,3
8,4;52,0;8,7
30,6;81,0;6,4
62,3;67,0;7,6
39,3;75,0;7,9
39,3;41,0;8,0
40,4;48,0;8,2
44,8;40,0;7,5
27,6;46,0;7,9
49,5;82,0;6,0
3,8;46,0;7,5
80,7;57,0;7,5
65,3;72,0;7,9
88,4;79,0;7,7
30,5;46,0;8,7
39,9;50,0;6,7
89,2;50,0;7,7
47,0;52,0;7,5
41,7;79,0;7,5
42,5;44,0;8,9
81,8;58,0;6,4
36,1;72,0;7,2
81,4;40,0;7,5
62,1;67,0;7,2
32,5;55,0;8,0
35,1;51,0;8,8
8,1;56,0;8,4
46,9;36,0;9,0
52,3;41,0;7,5
29,6;55,0;7,9
69,4;56,0;6,6
34,0;58,0;8,4
35,1;42,0;8,6
50,0;42,0;8,3
1,7;35,0;7,1
25,2;36,0;9,0
31,5;53,0;6,2
31,0;35,0;7,8
49,2;49,0;8,3
32,2;33,0;8,8
30,7;38,0;8,9
39,0;32,0;8,0
42,9;56,0;7,5
41,4;51,0;6,5
18,1;37,0;8,0
61,0;67,0;6,0
79,6;55,0;7,3
74,9;54,0;6,5
14,4;80,0;8,3
35,8;41,0;7,5
71,6;71,0;7,9
6,3;36,0;8,3
84,2;72,0;7,3
76,2;53,0;6,6
31,1;33,0;8,7
78,6;68,0;6,9
88,2;53,0;6,3
66,6;83,0;7,1
25,4;45,0;8,6
57,5;57,0;7,7
85,2;64,0;6,1
19,0;43,0;7,5
25,1;52,0;8,6
80,9;76,0;6,1
32,4;49,0;7,9
32,7;65,0;7,0
17,3;35,0;8,1
66,9;71,0;6,7
15,2;46,0;7,3
35,2;37,0;7,1
9,3;57,0;8,6
47,6;54,0;8,0
36,4;43,0;7,1
6,5;48,0;8,1
49,4;56,0;7,3
27,8;43,0;8,6
30,5;67,0;6,4
31,6;60,0;6,6
20,6;38,0;8,2
31,6;82,0;7,1
40,4;32,0;8,3
19,0;66,0;7,0
1,7;46,0;8,7
58,1;72,0;6,6
77,1;58,0;6,3
61,9;53,0;7,0
49,4;41,0;8,1
47,1;58,0;6,7
61,6;79,0;7,4
33,1;51,0;7,8
24,7;39,0;8,8
38,5;55,0;7,6
48,4;80,0;6,6
32,0;80,0;7,1
17,3;45,0;8,2
42,0;44,0;7,1
24,9;80,0;7,8
13,2;50,0;8,7
38,5;52,0;7,9
14,2;51,0;7,9
44,2;57,0;6,6
50,3;55,0;6,3
88,3;65,0;6,4
11,3;40,0;8,8
62,9;59,0;7,9
22,6;48,0;8,0
7,9;46,0;8,1
77,9;74,0;7,2
24,4;58,0;7,3
49,6;35,0;7,3
58,9;33,0;6,1
51,5;62,0;7,9
45,5;54,0;6,7
44,0;39,0;8,8
16,6;41,0;8,0
36,6;59,0;6,6
26,0;62,0;7,5
3,6;49,0;7,9
46,9;54,0;6,5
84,6;73,0;6,9
31,7;58,0;7,3
79,6;73,0;6,2
88,6;33,0;7,3
41,8;37,0;8,2
31,2;40,0;7,8
38,7;67,0;6,2
58,3;73,0;6,6
77,4;65,0;6,3
34,4;69,0;7,5
3,4;54,0;8,1
41,5;50,0;6,0
63,3;55,0;6,6
32,7;56,0;8,3
54,8;49,0;6,4
50,5;53,0;8,3
58,2;52,0;6,3
10,2;39,0;8,6
59,2;83,0;6,7
19,0;38,0;8,2
28,2;39,0;8,1
23,1;39,0;8,7
21,1;36,0;7,7
89,1;73,0;7,6
32,3;78,0;7,7
37,4;65,0;7,5
14,7;36,0;7,8
38,4;45,0;8,7
81,1;79,0;7,1
32,6;82,0;8,5
31,6;64,0;7,8
60,7;83,0;7,2
53,1;74,0;8,3
75,9;63,0;6,2
45,5;39,0;8,6
39,2;34,0;7,4
12,8;35,0;8,5
72,8;65,0;6,2
87,8;80,0;8,0
30,9;42,0;7,8
87,4;76,0;8,0
7,5;47,0;7,4
35,9;78,0;7,6
49,0;59,0;8,3
48,2;51,0;8,6
35,3;61,0;6,1
23,2;57,0;6,8
48,1;51,0;7,1
18,0;52,0;8,9
47,3;40,0;8,2
32,4;52,0;8,0
73,2;75,0;6,6
44,1;57,0;9,0
29,5;46,0;7,9
35,5;56,0;7,9
70,8;74,0;6,3
31,4;35,0;8,7
23,5;46,0;7,8
32,4;57,0;8,8
44,4;56,0;8,5
25,7;52,0;8,8
85,4;68,0;7,3
77,5;80,0;7,4
88,2;66,0;7,0
14,7;58,0;8,8
17,3;52,0;8,7
42,2;32,0;7,8
39,3;66,0;7,1
35,3;47,0;7,2
70,6;68,0;6,9
86,4;62,0;7,1
14,0;52,0;7,5
9,0;45,0;8,2
87,4;60,0;6,3
60,8;54,0;6,5
37,4;39,0;8,6
83,2;41,0;7,4
22,1;32,0;8,0
50,2;80,0;6,4
44,1;70,0;6,6
27,6;54,0;7,3
43,8;70,0;7,0
68,2;59,0;6,1
2,4;32,0;7,2
15,8;58,0;8,7
22,8;54,0;8,2
41,0;46,0;7,9
69,6;59,0;7,0
48,1;81,0;7,1
81,4;62,0;6,0
30,9;82,0;7,6
48,7;36,0;7,4
71,7;68,0;6,6
32,2;80,0;7,4
3,9;33,0;7,8
65,3;63,0;7,5
32,9;51,0;6,8
6,6;53,0;7,6
13,7;49,0;7,4
12,3;33,0;8,0
57,9;84,0;7,8
32,5;37,0;8,9
31,1;72,0;7,0
88,4;82,0;6,7
66,5;32,0;6,2
86,6;58,0;6,5
45,6;53,0;7,2
46,1;51,0;7,3
10,7;37,0;7,6
20,7;38,0;7,9
46,2;47,0;7,7
24,5;62,0;8,7
34,8;78,0;7,9
79,2;77,0;6,7
64,1;69,0;7,9
48,1;52,0;7,9
45,0;52,0;7,5
42,1;68,0;6,4
43,0;74,0;6,8
33,5;38,0;8,6
37,8;39,0;7,6
16,8;69,0;8,6
19,5;52,0;8,4
52,8;82,0;6,5
40,5;60,0;6,5
48,3;66,0;6,6
61,3;66,0;7,5
22,0;35,0;7,2
12,3;38,0;7,3
23,5;46,0;8,1
34,6;45,0;7,7
71,5;54,0;6,2
30,4;35,0;7,1
65,3;71,0;8,0
32,8;55,0;7,5
52,3;69,0;6,8
41,7;76,0;6,8
55,4;59,0;7,6
59,9;53,0;7,5
52,5;67,0;6,2
52,2;78,0;7,0
69,3;61,0;7,9
16,3;55,0;7,7
10,1;42,0;8,3
47,7;78,0;6,7
56,6;71,0;8,1
89,6;61,0;6,9
47,3;47,0;8,4
87,8;77,0;6,9
33,5;79,0;7,3
15,9;57,0;7,9
18,3;52,0;8,9
89,7;78,0;7,8
50,5;59,0;7,5
34,6;52,0;7,5
79,0;78,0;6,4
69,7;63,0;7,4
7,3;41,0;8,5
18,8;45,0;7,0
2,3;51,0;9,0
54,3;62,0;6,4
9,8;57,0;7,1
65,3;51,0;7,3
38,8;57,0;7,7
27,6;59,0;7,7
45,4;76,0;6,2
7,9;52,0;7,9
49,2;54,0;8,5
70,8;84,0;7,0
27,8;39,0;7,9
64,8;73,0;6,9
30,6;58,0;7,5
86,9;81,0;6,3
1,1;39,0;8,3
32,7;70,0;7,5
82,5;83,0;6,8
41,5;60,0;7,3
51,9;76,0;7,6
33,5;34,0;7,2
49,6;48,0;7,8
12,6;41,0;8,2
13,1;51,0;7,4
41,8;49,0;7,1
6,2;51,0;7,5
72,1;63,0;7,3
20,4;74,0;8,9
31,1;58,0;7,4
7,4;44,0;8,4
46,1;62,0;7,6
8,7;42,0;8,9
29,4;53,0;7,7
25,2;79,0;8,0
24,5;54,0;8,0
20,6;48,0;7,2
31,4;82,0;7,1
35,1;55,0;7,7
9,2;41,0;7,3
8,9;58,0;7,7
35,2;33,0;8,2
87,7;79,0;6,2
39,1;71,0;6,6
46,2;56,0;6,1
71,7;53,0;6,4
43,1;52,0;7,3
16,7;43,0;7,6
14,0;47,0;6,8
4,6;50,0;8,6
46,1;40,0;7,8
38,3;44,0;8,8
19,5;55,0;8,0
62,6;55,0;6,7
53,4;70,0;7,9
36,7;50,0;7,4
68,3;56,0;7,2
44,0;46,0;7,4
33,5;68,0;6,6
44,0;51,0;7,5
1,3;69,0;7,6
58,7;51,0;7,9
74,2;57,0;6,9
14,2;50,0;7,5
71,8;63,0;7,5
45,9;45,0;8,9
28,8;42,0;8,5
46,4;47,0;8,2
5,5;38,0;8,1
3,3;38,0;8,8
56,5;70,0;6,4
6,3;39,0;7,1
52,2;45,0;7,7
22,7;50,0;8,5
30,6;74,0;6,0
11,4;54,0;7,9
58,4;58,0;6,2
23,5;34,0;8,5
88,5;59,0;6,1
46,5;76,0;6,4
51,1;74,0;6,4
33,3;57,0;7,2
86,3;70,0;7,0
68,6;56,0;6,9
61,3;65,0;7,7
71,2;69,0;7,4
40,9;58,0;7,8
10,9;37,0;7,1
37,9;72,0;6,3
54,6;51,0;7,9
31,7;33,0;6,8
1,9;45,0;8,8
42,4;74,0;7,1
38,2;41,0;7,6
38,7;66,0;7,3
44,5;38,0;7,3
42,7;44,0;7,9
54,8;61,0;6,0
69,6;80,0;6,8
71,6;70,0;7,8
24,3;47,0;7,7
1,5;51,0;8,5
13,9;51,0;8,1
26,3;56,0;8,2
45,6;60,0;7,4
43,1;32,0;7,7
46,7;54,0;6,9
44,4;84,0;6,2
71,0;80,0;7,4
9,2;41,0;7,7
59,0;82,0;6,2
7,4;39,0;8,4
30,2;51,0;7,7
40,2;53,0;6,0
86,7;61,0;6,9
72,8;52,0;6,7
75,5;80,0;7,8
73,4;57,0;6,6
65,4;58,0;6,0
29,0;34,0;7,1
60,8;76,0;7,1
86,1;59,0;6,4
18,9;38,0;8,6
35,0;83,0;7,0
44,8;55,0;8,8
53,3;79,0;7,2
60,6;72,0;7,1
85,6;79,0;6,2
22,3;34,0;8,7
88,4;73,0;7,9
24,7;51,0;6,5
1,4;39,0;8,2
71,4;81,0;7,6
87,2;58,0;6,3
22,3;40,0;8,0
36,9;70,0;6,8
67,7;79,0;6,1
74,0;76,0;7,1
32,4;54,0;7,9
6,5;43,0;7,5
49,0;40,0;9,0
16,5;58,0;7,9
72,5;84,0;6,6
12,8;55,0;6,6
48,6;65,0;6,6
24,5;56,0;7,8
48,3;67,0;7,0
63,9;50,0;6,6
37,0;53,0;7,6
40,6;36,0;8,0
23,2;36,0;7,9
38,9;36,0;7,8
59,0;81,0;6,9
43,8;48,0;8,4
45,7;52,0;7,4
27,5;39,0;8,5
53,3;59,0;7,7
72,8;63,0;6,1
88,0;51,0;7,9
37,8;67,0;6,6
86,1;64,0;7,8
24,5;54,0;8,3
33,9;77,0;7,5
22,7;40,0;7,3
23,4;50,0;8,2
87,3;59,0;6,1
24,1;46,0;7,1
38,2;48,0;7,5
89,9;68,0;7,1
3,3;50,0;8,8
70,9;69,0;7,5
48,3;73,0;7,8
58,4;72,0;7,4
79,4;65,0;6,8
52,9;75,0;7,1
69,4;52,0;6,9
50,9;38,0;7,6
83,2;61,0;7,4
32,5;83,0;7,0
23,5;63,0;8,1
51,8;67,0;7,1
74,2;52,0;6,4
14,5;44,0;7,4
78,7;73,0;6,6
41,7;66,0;7,8
26,3;54,0;8,5
16,9;50,0;8,7
6,5;35,0;8,4
59,0;67,0;6,2
40,7;34,0;7,0
64,8;65,0;6,0
54,6;73,0;6,5
9,1;52,0;8,8
33,8;66,0;7,4
65,4;35,0;6,6
66,4;70,0;7,1
7,7;37,0;8,0
31,5;61,0;6,6
39,5;78,0;7,1
46,3;35,0;8,8
39,7;50,0;8,7
45,3;33,0;8,1
24,1;66,0;7,7
7,0;50,0;7,3
34,6;50,0;8,2
21,0;45,0;7,1
68,3;82,0;7,8
37,1;55,0;6,8
88,5;55,0;7,8
37,0;48,0;8,1
44,9;36,0;7,6
30,2;83,0;7,9
52,6;81,0;7,6
31,0;39,0;8,2
38,5;42,0;8,7
16,1;56,0;8,4
63,7;58,0;7,9
66,4;78,0;7,5
45,2;67,0;6,4
88,1;77,0;6,6
31,9;46,0;8,2
48,3;48,0;6,5
68,3;64,0;7,7
40,8;37,0;7,4
5,2;47,0;8,6
53,7;72,0;7,4
47,2;77,0;6,0
56,0;65,0;8,0
27,2;49,0;7,7
2,9;56,0;8,7
35,4;59,0;8,5
73,8;65,0;7,4
17,0;56,0;8,4
36,2;53,0;8,8
42,6;36,0;7,5
68,3;71,0;6,9
32,3;54,0;8,0
19,7;56,0;8,5
32,6;66,0;6,7
38,6;40,0;7,9
37,7;76,0;6,2
31,9;70,0;7,4
20,0;41,0;7,7
4,1;46,0;8,6
49,3;60,0;8,0
8,0;35,0;6,2
31,9;46,0;7,6
30,6;82,0;7,1
18,0;36,0;8,6
17,4;46,0;6,7
64,2;69,0;7,4
82,7;65,0;7,5
39,9;41,0;8,6
54,9;75,0;6,1
41,0;48,0;8,8
44,6;81,0;6,8
14,6;40,0;7,9
63,2;64,0;7,2
86,0;61,0;7,3
9,4;40,0;7,3
13,9;47,0;7,1
65,7;57,0;8,0
30,1;33,0;7,9
32,2;53,0;6,4
16,1;39,0;7,4
49,4;57,0;7,7
69,3;79,0;7,6
28,2;33,0;7,1
55,0;62,0;6,8
89,4;52,0;6,7
54,4;57,0;7,3
73,9;58,0;6,2
74,2;42,0;7,8
40,0;65,0;7,0
39,7;32,0;8,4
54,4;74,0;6,3
72,7;75,0;7,6
46,3;48,0;8,8
73,2;81,0;6,0
34,0;50,0;9,0
89,5;54,0;7,4
71,4;70,0;7,0
32,4;66,0;6,7
31,7;52,0;8,4
7,8;57,0;8,8
9,1;55,0;7,9
19,8;72,0;7,6
39,3;75,0;7,9
2,0;64,0;8,2
31,3;77,0;7,8
42,6;53,0;6,6
45,0;56,0;7,3
20,8;55,0;7,0
38,9;53,0;8,9
72,0;74,0;7,1
47,6;57,0;6,1
76,2;73,0;6,3
40,6;73,0;6,1
17,7;45,0;8,1
35,6;60,0;7,7
68,9;55,0;7,9
11,2;55,0;7,8
49,0;37,0;7,9
81,4;62,0;7,5
43,6;50,0;7,7
27,6;35,0;7,3
71,2;40,0;7,5
39,5;46,0;7,3
72,4;63,0;6,3
34,1;83,0;7,4
18,3;44,0;7,5
9,3;40,0;8,5
22,8;47,0;7,4
38,8;52,0;7,8
6,7;55,0;8,8
2,3;58,0;6,0
60,7;83,0;7,7
24,6;47,0;8,5
32,5;51,0;6,1
59,8;48,0;6,9
65,8;78,0;7,2
5,8;42,0;8,1
68,4;58,0;6,2
,2;51,0;7,1
1,8;41,0;9,0
50,0;55,0;7,4
86,6;66,0;8,0
54,5;69,0;7,6
11,6;49,0;7,4
45,9;71,0;6,1
31,9;42,0;7,8
34,7;53,0;7,1
30,3;38,0;7,9
32,7;36,0;8,3
23,5;37,0;8,5
80,5;62,0;6,7
47,6;34,0;8,2
14,7;58,0;7,8
33,6;57,0;7,8
81,9;62,0;8,1
1,1;47,0;8,5
82,6;79,0;7,0
13,4;32,0;7,8
43,1;37,0;7,8
81,1;54,0;8,0
35,3;81,0;7,6
48,2;55,0;7,8
23,8;81,0;7,9
29,8;41,0;7,9
42,0;39,0;8,2
24,5;43,0;7,6
49,1;53,0;7,6
88,7;73,0;7,5
45,0;45,0;7,8
88,9;52,0;6,8
85,8;54,0;7,7
20,4;47,0;7,1
45,9;51,0;6,5
43,8;62,0;6,5
81,9;78,0;6,9
85,6;50,0;7,9
44,7;46,0;8,8
82,8;72,0;7,9
31,8;46,0;7,7
42,5;45,0;7,8
58,9;77,0;6,6
28,8;54,0;7,3
40,0;65,0;6,6
36,4;57,0;8,5
73,4;63,0;6,1
42,4;75,0;6,5
54,2;82,0;7,4
7,5;33,0;7,7
76,6;56,0;8,5
78,7;61,0;6,9
30,6;42,0;6,7
14,6;69,0;8,5
37,2;80,0;6,0
50,6;74,0;6,1
41,8;44,0;8,6
58,6;72,0;7,3
40,1;52,0;7,7
68,7;67,0;6,5
36,2;80,0;7,6
29,6;39,0;6,6
57,9;58,0;7,6
7,7;40,0;7,9
24,7;50,0;7,3
73,3;74,0;6,7
44,1;75,0;7,7
47,4;44,0;7,0
36,4;45,0;7,8
32,0;68,0;6,2
26,9;50,0;8,3
47,6;74,0;7,9
46,2;65,0;6,4
14,9;42,0;7,4
1,1;45,0;8,4
36,9;35,0;8,6
36,0;70,0;6,1
62,6;80,0;6,8
42,3;58,0;7,1
73,0;73,0;8,0
30,0;35,0;6,3
47,6;54,0;7,7
68,1;61,0;6,9
60,2;83,0;6,7
73,9;63,0;7,0
25,3;41,0;8,8
48,4;35,0;8,9
25,7;56,0;8,1
26,8;36,0;7,1
79,4;75,0;7,5
15,6;57,0;7,7
36,8;39,0;7,2
43,9;41,0;8,1
37,4;58,0;7,1
7,1;49,0;7,6
69,2;52,0;8,0
36,5;48,0;9,0
12,4;53,0;7,2
35,0;79,0;6,2
42,9;39,0;7,6
74,4;68,0;6,6
4,2;41,0;8,0
61,8;84,0;6,9
73,7;72,0;7,1
49,2;55,0;8,4
24,5;51,0;7,9
2,5;55,0;8,2
24,5;48,0;7,2
71,8;60,0;7,4
14,4;45,0;7,8
78,5;53,0;7,0
77,6;57,0;7,0
87,2;58,0;6,5
40,4;55,0;7,7
47,6;75,0;7,0
26,5;58,0;7,4
15,0;43,0;7,5
52,7;72,0;6,9
86,8;53,0;6,1
41,9;79,0;6,5
33,9;61,0;6,2
38,1;83,0;7,9
5,0;34,0;7,7
18,5;39,0;8,5
54,4;53,0;8,7
27,8;73,0;7,6
69,2;45,0;7,4
48,1;36,0;7,2
37,1;54,0;6,3
50,8;75,0;6,8
27,4;36,0;7,5
37,0;84,0;6,7
24,1;39,0;8,6
55,4;75,0;7,8
50,8;69,0;6,1
83,9;66,0;6,5
80,8;81,0;7,6
42,0;43,0;7,9
47,1;72,0;6,7
4,8;36,0;7,9
54,1;76,0;6,0
84,6;60,0;6,3
81,6;81,0;7,2
27,6;57,0;7,8
46,6;65,0;7,2
59,6;59,0;6,4
47,8;43,0;7,6
3,7;37,0;7,8
41,1;56,0;7,6
10,5;52,0;8,6
10,9;70,0;7,6
11,6;37,0;8,1
64,9;47,0;7,7
47,2;41,0;7,7
6,6;50,0;7,0
84,3;70,0;7,2
27,9;45,0;8,3
46,2;42,0;7,6
25,2;58,0;7,3
35,2;76,0;7,6
40,8;55,0;8,0
68,6;65,0;7,3
62,8;80,0;7,9
81,8;54,0;7,1
82,6;56,0;6,8
23,4;46,0;8,4
30,9;67,0;7,0
32,8;39,0;8,3
45,7;50,0;7,3
43,2;69,0;7,2
49,1;75,0;6,7
54,1;70,0;6,8
69,8;41,0;7,1
36,4;60,0;6,3
61,8;81,0;7,1
41,3;48,0;8,8
10,2;58,0;6,6
65,6;83,0;6,1
30,1;61,0;6,0
66,4;54,0;6,9
38,2;32,0;7,5
70,9;75,0;6,8
44,7;54,0;6,7
41,6;39,0;8,9
8,8;71,0;7,2
20,3;41,0;8,7
74,0;51,0;8,0
55,4;61,0;7,2
82,2;69,0;7,7
25,2;41,0;8,5
72,8;75,0;6,6
44,7;49,0;8,3
35,2;80,0;7,5
54,3;79,0;7,6
36,1;41,0;7,8
58,2;74,0;6,8
